Section	Item Type	Date	Title	Author	Link	Tags	Teaser
Quotes	Quotation	2010-02-27 13:07:00	Preparing Managers to Manage	Matthew Stewart	quotes/preparing-managers-to-manage.html	education	The time has come to recognize that higher education in management rests on a fatal fallacy. The idea behind the contemporary business school is that preparing future business managers means training them in a discipline called Business Management. After 100 years of fruitless attempts to produce such a discipline, it should be clear that it does not exist. Preparing managers to manage, in fact, is not different from preparing people to live in a civilized world. Managers do not need to be trained; they need to be <em>educated.</em> And for that purpose, although a certain amount of study of business-related subjects may prove useful, the business schools as they are presently constituted are at best superfluous.
Quotes	Quotation	2006-11-30 14:29:31	Quality of Children vs. Quantity	Margaret Mead	quotes/quality-of-children-vs.-quantity.html	education, parenthood, sustainability	Instead of needing lots of children, we need high-quality children.
Quotes	Quotation	2008-11-02 07:21:09	Never Knew Cocaine to Improve Anything	Joe Boyd	quotes/never-knew-cocaine-to-improve-anything.html	art, cultural evolution	I listened in the studio control room as musicians' modes of consciousness-alteration proceeded from grass, hash and acid to heroin and cocaine by the 1970s. All but the latter could, on occasion, provide benefits, at least to the music. I never knew cocaine to improve anything.... I suspect that the surge in cocaine's popularity explains -- at least in part -- why so many great sixties artists made such bad records in the following decade.
Quotes	Quotation	2018-07-20 10:12:06	What would a new social compact look like?	Edward Luce	quotes/what-would-a-new-social-compact-look-like.html	democracy, equality, society	What would a new social compact look like? Since our crisis is political, the solutions must stretch far beyond economics. My own views do not always fit into twentieth-century pigeonholes. But I believe that protecting society's weakest from arbitrary misfortune is the ultimate test of our civilisational worth. It seems blindingly obvious that universal healthcare ought to be a basic shield against the vicissitudes of an increasingly volatile labour market. Humane immigration laws should be enforced, and the link between public benefits and citizenship restored. Ours is an age of lawyers and accountants. Micro-regulation of the workplace ought to be replaced with broad guideines; free speech, in whatever form it takes, must be upheld on campuses and in the media; the tax system should be ruthlessly simplified; governments must tax bad things, such as carbon, rather than good things, like jobs; companies should be taxed where they conduct their business. Governments must launch Marshall Plans to retrain their middle classes. The nature of representative democracy should be re-imagined. Above all, money's stranglehold on the legistlative process has to be broken. 
Quotes	Quotation	2017-07-30 09:52:58	Discovering that I am Nobody	Josiah Royce	quotes/discovering-that-i-am-nobody.html	connection	We are all aware, if we have ever tried it, how empty and ghostly is a life lived for a long while in absolute solitude. Free me from my fellows, let me alone to work out the salvation of my own glorious self, and surely (so I may fancy) I shall now for the first time show who I am. No, not so; on the contrary I merely show in such a case who I am not. I am no longer friend, brother, companion, co-worker, servant, citizen, father, son; I exist for nobody; and ere-long, perhaps to my surprise, generally to my horror, I discover that I <em>am</em> nobody. 
Quotes	Quotation	2006-11-30 14:29:31	Art is a Hammer	Bertolt Brecht	quotes/art-is-a-hammer.html	art, individuals	Art is not a mirror held up to reality, but a hammer with which to shape it.
Quotes	Quotation	2017-05-24 15:57:36	Art is a lie that makes us realize truth	Pablo Picasso	quotes/art-is-a-lie-that-makes-us-realize-truth.html	art	We all know that Art is not truth. Art is a lie that makes us realize truth, at least the truth that is given us to understand. The artist must know the manner whereby to convince others of the truthfulness of his lies. If he only shows in his work that he has searched, and re-searched, for the way to put over lies, he would never accomplish anything.
Quotes	Quotation	2006-11-30 14:29:31	Do the Right Thing	Mark Twain	quotes/do-the-right-thing.html	individuals	Do the right thing. It will gratify some people and astonish the rest.
Quotes	Quotation	2008-07-13 13:40:38	The Underlying Principle of the Problem	Steve Jobs	quotes/the-underlying-principle-of-the-problem.html	critical thinking	When you start looking at a problem and it seems really simple, you don't really understand the complexity of the problem. Then you get into the problem, and you see that it's really complicated, and you come up with all these convoluted solutions. That's sort of the middle, and that's where most people stop.... But the really great person will keep on going and find the key, the underlying principle of the problem -- and come up with an elegant, really beautiful solution that works. That's what we wanted to do with Mac.
Quotes	Quotation	2006-11-30 14:29:32	Learning from Experience	Peter Senge	quotes/learning-from-experience.html	critical thinking, education, systemic	The most powerful learning comes from direct experience. But what happens when we can no longer observe the consequences of our actions? Herein lies the core <em>learning dilemma</em> that confronts organizations:<em> we learn best from experience but we never directly experience the consequences of many of our most important decisions.</em> The most critical decisions made in organizations have systemwide consequences that stretch over years or decades.
Quotes	Quotation	2011-04-22 06:05:01	The center of every man's existence is a dream	G. K. Chesterton	quotes/the-center-of-every-mans-existence-is-a-dream.html	humanism	The center of every man's existence is a dream. Death, disease, insanity, are merely material accidents, like a toothache or a twisted ankle. That these brutal forces always besiege and often capture the citadel does not prove that they are the citadel. 
Quotes	Quotation	2016-11-28 08:52:16	Most sociopolitical hierarchies lack a logical or biological basis	Yuval Noah Harari	quotes/most-sociopolitical-hierarchies-lack-a-logical-or-biological-basis.html	cultural evolution	Most sociopolitical hierarchies lack a logical or biological basis -- they are nothing but the perpetuation of chance events supported by myths.
Quotes	Quotation	2019-01-26 09:05:26	Most humans desire cultural stability, not change	Stephen E. Nash	quotes/most-humans-desire-cultural-stability-not-change.html	progress	All of this confirms something that I’ve long suspected: Most humans, until very recently, desired and maintained cultural stability, not change. Change was a threat and was embraced only when absolutely necessary.
Quotes	Quotation	2009-01-06 19:42:52	Postel’s Law	Jon Postel	quotes/postels-law.html	diversity, liberty	Be conservative in what you do; be liberal in what you accept from others.
Quotes	Quotation	2016-11-20 11:23:35	When his salary depends on his not understanding it	Upton Sinclair	quotes/when-his-salary-depends-on-his-not-understanding-it.html	critical thinking	It is difficult to get a man to understand something, when his salary depends on his not understanding it.
Quotes	Quotation	2008-01-20 12:28:31	Single Garment of Destiny	Martin Luther King Jr.	quotes/single-garment-of-destiny.html	connection	We are tied together in the single garment of destiny, caught in an inescapable network of mutuality. And whatever affects one directly affects all indirectly.
Quotes	Quotation	2018-06-21 11:15:21	The Opposite of Popularizing Economics	Yanis Varoufakis	quotes/the-opposite-of-popularizing-economics.html	democracy, education, society	This is why this book is my attempt to do the opposite of popularizing economics: if it succeeds, it should incite its readers to take the economy into their own hands and make them realize that to understand the economy they also have to understand why the self-appointed experts on the economy, the economists, are almost always wrong. Ensuring that everyone is allowed to talk authoritatively about the economy is a prerequisite for a good society and a precondition for an authentic democracy. The economy's ups and downs determine our lives; its forces make a mockery of our democracies; its tentacles reach deep into our souls, where they shape our hopes and aspirations. If we defer to the experts on the economy, we effectively hand them *all* decisions that matter. 
Quotes	Quotation	2008-05-21 19:41:18	Occasions When the Intellect Retires Gracefully	Margery Allingham	quotes/occasions-when-the-intellect-retires-gracefully.html	critical thinking	There are occasions when the intellect retires gracefully from a situation entirely behind its decorous control and leaves all the other complicated machinery of the mind to muddle through on its own.
Quotes	Quotation	2018-10-11 12:59:45	When I get a little money I buy books	Desiderius Erasmus	quotes/when-i-get-a-little-money-i-buy-books.html	written word	When I get a little money I buy books; and if any is left I buy food and clothes.
Quotes	Quotation	2009-01-20 20:47:20	A Return to These Truths	Barack Obama	quotes/a-return-to-these-truths.html	progress	Our challenges may be new. The instruments with which we meet them may be new. But those values upon which our success depends -- hard work and honesty, courage and fair play, tolerance and curiosity, loyalty and patriotism -- these things are old. These things are true. They have been the quiet force of progress throughout our history. What is demanded then is a return to these truths.
Quotes	Quotation	2010-10-26 19:46:43	The Real Problem of Humanity	E. O. Wilson	quotes/the-real-problem-of-humanity.html	cultural evolution, humanism	The real problem of humanity is the following: we have paleolithic emotions; medieval institutions; and god-like technology.
Quotes	Quotation	2014-03-13 06:15:56	When you can measure what you are speaking about	Lord Kelvin	quotes/when-you-can-measure-what-you-are-speaking-about.html	science	I often say that when you can measure what you are speaking about, and express it in numbers, you know something about it; but when you cannot express it in numbers, your knowledge is of a meagre and unsatisfactory kind; it may be the beginning of knowledge, but you have scarcely, in your thoughts, advanced to the stage of <em>science</em>, whatever the matter may be.
Quotes	Quotation	2018-04-12 15:24:32	Guided missiles and misguided men	Martin Luther King Jr.	quotes/guided-missiles-and-misguided-men.html	equality	When scientific power outruns moral power, we end up with guided missiles and misguided men. When we foolishly maximize the minimum and minimize the maximum, we sign the warrant for our own day of doom. It is this moral lag in our thing-oriented society that blinds us to the human reality around us and encourages us in the greed and the exploitation which creates the sector of poverty in the midst of wealth.
Quotes	Quotation	2018-06-21 11:29:55	Generosity is the robust strategy	Tim O'Reilly	quotes/generosity-is-the-robust-strategy.html	equality	It is deeply unfortunate how difficult it is for humans to practice foresight. In his wise and insightful book, *The Wealth of Humans*, senior editor for the *Economist* Ryan Avent traces the lessons that we could and should take from the centuries of economic and political struggle that led from the innovations of the industrial revolution to the successful economies of the second half of the twentieth century. Prosperity came when the fruits of productivity were widely shared; enmity, political turmoil, and even outright warfare were the harvest of rampant inequality. It is obvious that generosity is the robust strategy. 
Quotes	Quotation	2016-01-05 19:40:57	Think globally, act locally	Disputed	quotes/think-globally-act-locally.html	connection, individuals	Think globally, act locally.
Quotes	Quotation	2017-03-26 13:13:49	Our privileges can be no greater than our obligations	John F. Kennedy	quotes/our-privileges-can-be-no-greater-than-our-obligations.html	individuals, liberty	But this Nation was not founded solely on the principle of citizens' rights. Equally important, though too often not discussed, is the citizen's responsibility. For our privileges can be no greater than our obligations. The protection of our rights can endure no longer than the performance of our responsibilities. Each can be neglected only at the peril of the other. I speak to you today, therefore, not of your rights as Americans, but of your responsibilities. They are many in number and different in nature. They do not rest with equal weight upon the shoulders of all. Equality of opportunity does not mean equality of responsibility. All Americans must be responsible citizens, but some must be more responsible than others, by virtue of their public or their private position, their role in the family or community, their prospects for the future, or their legacy from the past. Increased responsibility goes with increased ability, for "of those to whom much is given, much is required."
Quotes	Quotation	2010-10-31 18:30:54	Ism-mania	Robert Riskin	quotes/ism-mania.html	diversity	Grandpa: Penny why don't you write a play about ism-mania? Penny: Ism-mania? Grandpa: Yeah, sure, you know -- communism, fascism, voodooism. Everybody's got an ism these days. Penny: I feel like I've got this itch or something. Grandpa: It's just as catching. When things go a little bad nowadays, you go out and get yourself an ism and you're in business. Penny: I've got it! It might help Cynthia to have an ism in the monastery! Grandpa: It might at that. Only give her Americanism. Let her know something about Americans: John Paul Jones, Patrick Henry, Samuel Adams, Washington, Jefferson, Monroe, Lincoln, Grant, Lee, Edison, Mark Twain. When things got tough for those boys, they didn't run around looking for isms. Lincoln said, "With malice toward none, with charity for all." Nowadays they say, "Think the way I do, or I'll bomb the daylights out of you."
Quotes	Quotation	2007-02-10 15:04:57	Everybody Has Some Important Pieces of the Truth	Ken Wilber	quotes/everybody-has-some-important-pieces-of-the-truth.html	integral	My work is an attempt to make room in the Kosmos for all of the dimensions, levels, domains, waves, memes, modes, individuals, cultures, and so on ad infinitum. I have one major rule: Everybody is right. More specifically, everybody -- including me -- has some important pieces of truth, and all of those pieces need to be honored, cherished, and included in a more gracious, spacious, and compassionate embrace.
Quotes	Quotation	2006-11-30 14:29:31	Careful, thoughtful, small, practical efforts	Joseph L. Badaracco, Jr.	quotes/careful-thoughtful-small-practical-efforts.html	individuals, practical	The vast majority of difficult, important human problems -- both inside and outside organizations -- are not solved by a swift, decisive stroke from someone at the top. What usually matters are careful, thoughtful, small, practical efforts by people working far from the limelight.
Quotes	Quotation	2018-07-27 11:11:48	Thou shalt love thy neighbour as thyself	Jesus	quotes/thou-shalt-love-thy-neighbour-as-thyself.html	love	Thou shalt love thy neighbour as thyself. 
Quotes	Quotation	2011-06-24 20:17:22	Quality Matters	Dambisa Moyo	quotes/quality-matters.html	education	Quality matters, and much of the evidence suggests that while developing countries are encouraging and fostering meritocracy, their Western rivals are increasingly approaching academe with an egalitarian flare -- more access (of course, with the benefit of widening educational opportunity) even if at the expense of quality. 
Quotes	Quotation	2011-08-30 19:39:19	We have wonderful arguments	Steve Jobs	quotes/we-have-wonderful-arguments.html	critical thinking, equality	Jobs: What I do all day is meet with teams of people and work on ideas and solve problems to make new products, to make new marketing programs, whatever it is. Mossberg: And are people willing to tell you you're wrong? Jobs: (laughs) Yeah. Mossberg: I mean, other than snarky journalists, I mean people that work for… Jobs: Oh, yeah, no we have wonderful arguments. Mossberg: And do you win them all? Jobs: Oh no I wish I did. No, you see you can't. If you want to hire great people and have them stay working for you, you have to let them make a lot of decisions and you have to, you have to be run by ideas, not hierarchy. The best ideas have to win, otherwise good people don't stay. Mossberg: But you must be more than a facilitator who runs meetings. You obviously contribute your own ideas. Jobs: I contribute ideas, sure. Why would I be there if I didn't? 
Quotes	Quotation	2006-11-30 14:29:32	Freedom of Expression in Business	Tom Peters and Robert H. Waterman Jr.	quotes/freedom-of-expression-in-business.html	connection, liberty	...note that this implicit recognition of the right-side traits by the excellent companies is directly at the expense of more traditional left-brain business practices: causes to fight for are a long way from thirty quarterly MBO objectives. The intimate team or small division ignores scale economies. Allowing freedom of expression by thousands of quality circles flies in the face of the 'one best way' of traditional production organization.
Quotes	Quotation	2018-11-13 15:40:18	Each man is questioned by life	Victor Frankl	quotes/each-man-is-questioned-by-life.html	mission	Ultimately, man should not ask what the meaning of his life is, but rather must recognize that it is he who is asked. In a word, each man is questioned by life; and he can only answer to life by answering for his own life; to life he can only respond by being responsible.
Quotes	Quotation	2008-10-20 14:01:54	Integrity and Conviction	Wynton Marsalis	quotes/integrity-and-conviction.html	love	The best jazz had always been the embodiment of integrity and conviction. Because the musicians' skills and competence were so hard-earned, it was difficult to get them to compromise. Once jazzmen began making the decision to water down their artistry for notoriety, publicity, or money, our art began to face the same challenges that our government and many businesses face: dearth of leadership, lack of quality, loss of meaning, insensitivity to people--ultimately a wholesale loss of faith: 'Well, what is jazz, anyway?''What difference does it make what I play?'
Quotes	Quotation	2013-06-27 04:12:18	We All Derive From the Same Source	Henry Miller	quotes/we-all-derive-from-the-same-source.html	art, equality, humanism, individuals	Every day we slaughter our finest impulses. That is why we get a heartache when we read those lines written by the hand of a master and recognize them as our own, as the tender shoots which we stifled because we lacked the faith to believe in our own powers, our own criterion of truth and beauty. Every man, when he gets quiet, when he becomes desperately honest with himself, is capable of uttering profound truths. We all derive from the same source. there is no mystery about the origin of things. We are all part of creation, all kings, all poets, all musicians; we have only to open up, only to discover what is already there.
Quotes	Quotation	2016-10-23 14:48:01	That Magical Honeycomb of Words	Tom Robbins	quotes/that-magical-honeycomb-of-words.html	art, stories, written word	...language, that magical honeycomb of words into which human reality is forever dissolving and from which it continually reemerges, having invented itself anew. The adjective in the lotus. The jewel in the inkwell. A blue dolphin leaping from a sink of dirty dishes.
Quotes	Quotation	2008-11-02 08:12:54	Records we made together in the sixties	Joe Boyd	quotes/records-we-made-together-in-the-sixties.html	art, connection	These days most engineers confronted with a displeasing sound reach for the knobs on the console and tweak the high, mid or low frequencies. When that process is inflicted on more and more tracks of a multi-channel recording the sound passes through dozens of transistors, resulting in a narrower, more confined sound. With the added limitations of digital sound, you end up with a bright and shiny, thin and two-dimensional recording. To my ears anyway. When John [Wood] heard a sound he didn't like, he would lift his bulky frame off the chair and lumber down the stairs, muttering all the way. I began to be able to predict whether he was going to try a different microphone, reposition the existing one or shift the offending musician to another part of the studio. When I listen to records we made together in the sixties, I can still hear the air in the studio and the full dimension of the sounds the musicians created for us. I can hear the depth of Nick Drake's breath as well as his voice, the grit in the crude strings of Robin Williamson's <cite>gimbri</cite> and Dave Mattacks' drum technique spread out warmly in aural Technicolor across the stereo spectrum.
Quotes	Quotation	2011-07-11 05:05:21	Between Saturday night and Sunday morning	Jimmy Buffet	quotes/between-saturday-night-and-sunday-morning.html	imperfection	Oh, there's a thin line between Saturday night and Sunday morning.
Quotes	Quotation	2018-04-09 16:34:57	We are idealists and we are realists	Alan Lightman	quotes/we-are-idealists-and-we-are-realists.html	integral	We are idealists and we are realists. We are dreamers and we are builders. We are experiencers and we are experimenters. We long for certainties, yet we ourselves are full of the ambiguities of the Mona Lisa and the I Ching. We ourselves are a part of the yin-yang of the world.
Quotes	Quotation	2012-10-22 05:30:34	Seeing the Bigger Picture from Multiple Angles	Jeff Bezos and Jason Fried	quotes/seeing-the-bigger-picture-from-multiple-angles.html	critical thinking, diversity, integral	He [Jeff Bezos] said people who were right a lot of the time <em>were people who often changed their minds</em>. He doesn't think consistency of thought is a particularly positive trait. It's perfectly healthy -- encouraged, even -- to have an idea tomorrow that contradicted your idea today. He's observed that the smartest people are constantly revising their understanding, reconsidering a problem they thought they'd already solved. They're open to new points of view, new information, new ideas, contradictions, and challenges to their own way of thinking. This doesn't mean you shouldn't have a well formed point of view, but it means you should consider your point of view as temporary. What trait signified someone who was <em>wrong</em> a lot of the time? Someone obsessed with details that only support one point of view. If someone can't climb out of the details, and see the bigger picture from multiple angles, they're often wrong most of the time.
Quotes	Quotation	2019-02-25 16:57:57	The growth of firms	Edith Penrose	quotes/the-growth-of-firms.html	value creation	All the evidence we have indicates that the growth of firms is connected with the attempts of a particular group of human beings to do something.
Quotes	Quotation	2018-04-12 15:38:47	Creatively Maladjusted	Martin Luther King Jr.	quotes/creatively-maladjusted.html	individuals	There is a need now more than ever before for men and women in our nation to be creatively maladjusted. And I say to you that I choose to be among the maladjusted. 
Quotes	Quotation	2018-10-03 19:03:18	I learned a lot of things from failure	Brooks Robinson	quotes/i-learned-a-lot-of-things-from-failure.html	imperfection	I learned a lot of things from failure. When you play 162 games, I don't think any sport emulates life like baseball. You play football once a week or basketball twice. But you start playing baseball, you play every day, day in and day out. And you understand in a hurry that you're going to have bad days and bad nights. You're going to have bad weeks, and you just have to make up your mind that, hey, tomorrow's tomorrow, and you forget about it. 
Quotes	Quotation	2014-09-04 03:51:11	The Cult of Ignorance	Isaac Asimov	quotes/the-cult-of-ignorance.html	critical thinking	There is a cult of ignorance in the United States, and there always has been. The strain of anti-intellectualism has been a constant thread winding its way through our political and cultural life, nurtured by the false notion that democracy means that 'my ignorance is just as good as your knowledge.'
Quotes	Quotation	2018-04-09 16:46:51	Bathing in mystery and confusion	Carl Sagan	quotes/bathing-in-mystery-and-confusion.html	wonder	I don’t mean to suggest that we have the final answers; we are bathing in mystery and confusion on many subjects, and I think that will always be our destiny. The universe will always be much richer than our ability to understand it.
Quotes	Quotation	2011-04-22 06:06:37	Conservatives and Progressives	G. K. Chesterton	quotes/conservatives-and-progressives.html	governance, progress	The whole modern world has divided itself into Conservatives and Progressives. The business of Progressives is to go on making mistakes. The business of Conservatives is to prevent mistakes from being corrected. Even when the revolutionist might himself repent of his revolution, the traditionalist is already defending it as part of his tradition. Thus we have two great types -- the advanced person who rushes us into ruin, and the retrospective person who admires the ruins. He admires them especially by moonlight, not to say moonshine. Each new blunder of the progressive or prig becomes instantly a legend of immemorial antiquity for the snob. This is called the balance, or mutual check, in our Constitution. 
Quotes	Quotation	2007-02-28 05:28:16	To see a world in a grain of sand	William Blake	quotes/to-see-a-world-in-a-grain-of-sand.html	art, love	To see a world in a grain of sand And heaven in a wild flower Hold infinity in the palm of your hand And eternity in an hour.
Quotes	Quotation	2017-07-29 17:58:54	The wonder remains	Alfred North Whitehead	quotes/the-wonder-remains.html	wonder	Philosophy begins in wonder. And, at the end, when philosophic thought has done its best, the wonder remains. 
Quotes	Quotation	2017-03-16 14:13:41	When old men plant trees	anonymous	quotes/when-old-men-plant-trees.html	mission	A society grows great when old men plant trees whose shade they know they shall never sit in.
Quotes	Quotation	2013-12-28 13:09:27	Critical Thinking Followed by Action	Dalai Lama	quotes/critical-thinking-followed-by-action.html	critical thinking, individuals, progress, stories	Interviewer: What's the most important meditation we can do now? Dalai Lama: Critical thinking, followed by action. Discern what your world is. Know the plot, the scenario of this human drama. And then figure out where your talents might fit in to make a better world.
Quotes	Quotation	2013-01-03 05:42:18	Little things seen largely	Otto Jespersen	quotes/little-things-seen-largely.html	individuals	To anyone who finds that linguistic study is a worthless finicking with trifles, I would reply that life consists of little things; the important matter is to see them largely. 
Quotes	Quotation	2017-11-06 11:57:15	The system has been shaping and reshaping our minds	Yuval Noah Harari	quotes/the-system-has-been-shaping-and-reshaping-our-minds.html	cultural evolution	For thousands of years the system has been shaping and reshaping our minds according to its needs. Sapiens originally evolved as members of small intimate communities, and their mental faculties were not adapted to living as cogs within a giant machine. However, with the rise of cities, kingdoms and empires, the system cultivated capacities required for large-scale cooperation, while disregarding other skills and aptitudes. 
Quotes	Quotation	2011-09-01 06:31:28	Technology married with the humanities	Steve Jobs	quotes/technology-married-with-the-humanities.html	integral	Technology alone is not enough. It's technology married with the liberal arts, married with the humanities, that yields the results that makes our hearts sing. Nowhere is that more true than in these post-PC devices… that need to be even easier to use than a PC, that need to be even more intuitive than a PC; and where the software and the hardware and the applications need to intertwine in an even more seamless way than they do on a PC. We think we are on the right track with this. We think we have the right architecture not just in silicon but in the organization to build these kinds of products.
Quotes	Quotation	2013-03-24 10:29:35	God and Morality	Frans de Waal	quotes/god-and-morality.html	religion, stories	It wasn't God who introduced us to morality; rather, it was the other way around. God was put into place to help us live the way we felt we ought to.
Quotes	Quotation	2018-11-15 16:24:42	That community asks for and gets chaos	Daniel Patrick Moynihan	quotes/that-community-asks-for-and-gets-chaos.html	parenthood	From the wild Irish slums of the 19th century Eastern seaboard, to the riot-torn suburbs of Los Angeles, there is one unmistakable lesson in American history; a community that allows a large number of men to grow up in broken families, dominated by women, never acquiring any stable relationship to male authority, never acquiring any set of rational expectations about the future -- that community asks for and gets chaos. Crime, violence, unrest, disorder -- most particularly the furious, unrestrained lashing out at the whole social structure -- that is not only to be expected; it is very near to inevitable. And it is richly deserved.
Quotes	Quotation	2011-01-18 04:57:18	Our Reply to Violence	Leonard Bernstein	quotes/our-reply-to-violence.html	art, love	This will be our reply to violence: to make music more intensely, more beautifully, more devotedly than ever before. 
Quotes	Quotation	2018-11-13 14:14:25	We should always be fighting evil	Stan Lee	quotes/we-should-always-be-fighting-evil.html	mission	All I tried to do in my stories was show that there's some innate goodness in the human condition. And there's always going to be evil; we should always be fighting evil.
Quotes	Quotation	2018-07-20 16:07:12	Governments losing their ability to anticipate events	Edward Luce	quotes/governments-losing-their-ability-to-anticipate-events.html	balance, governance	Governments of all types -- democratic and authoritarian, small states and superpowers -- are losing their ability to anticipate events. They are thus losing the means to shape them. The days when national leaders could peer around the corner and head off coming dangers are receding. The best foreigh policy is conducted by calm minds in possession of the facts -- and shielded from the pressure to broadcast instant moral absolutes. The more time leaders have to weigh up their options the likelier they are to choose the right ones. The speed of technological change is working against them. 
Quotes	Quotation	2011-10-30 12:21:59	By Gifts One Makes Slaves	Peter Freuchen	quotes/by-gifts-one-makes-slaves.html	connection, equality	Up in our country we are human! said the hunter. 'And since we are human we help each other. We don't like to hear anybody say thanks for that. What I get today you may get tomorrow. Up here we say that by gifts one makes slaves and by whips one makes dogs.' 
Quotes	Quotation	2006-11-30 14:29:32	Democracy is Worst Form of Government	Winston Churchill	quotes/democracy-is-worst-form-of-government.html	democracy, equality, governance	Democracy is the worst form of government, except for all those others that have been tried.
Quotes	Quotation	2018-05-30 12:17:42	Diversity Helps Your Business -- But Not The Way You Think	Katherine Phillips	quotes/diversity-helps-your-business-but-not-the-way-you-think.html	diversity	I recently published research ... that found that members of a social majority are more likely to voice unique perspectives and critically review task-relevant information when there is more social diversity present than when there is not. Moreover, this is true even when the people who are "different" don't express any unique perspectives themselves. Our research suggests that the mere presence of social diversity makes people with independent points of view more willing to voice those points of view, and others more willing to listen. In one of our studies, we compared homogeneous and diverse groups trying to solve a murder mystery. The diverse groups reported that they didn't work together very effectively, and they were less confident about their decisions than the homogeneous groups, yet they consistently outperformed those homogeneous groups.
